old_text,new_text,label
OPPO Special offer: cashback up to ₹11914 with exchange benefits.,OPPO Special offer: cashback up to ₹2172 with exchange benefits.,1
OPPO AI-powered camera and fast charging make this device highly competitive.,OPPO Flagship smartphone priced at ₹48140 with premium camera and performance features.,1
SAMSUNG Special offer: cashback up to ₹9027 with exchange benefits.,SAMSUNG Mid-range device available at ₹88682 offering great battery life and display.,1
SAMSUNG Mid-range device available at ₹103854 offering great battery life and display.,"SAMSUNG Strong focus on design, performance, and user experience.",1
SAMSUNG AI-powered camera and fast charging make this device highly competitive.,SAMSUNG AI-powered camera and fast charging make this device highly competitive.,0
"OPPO Strong focus on design, performance, and user experience.","OPPO Strong focus on design, performance, and user experience.",0
"SAMSUNG Strong focus on design, performance, and user experience.","SAMSUNG Strong focus on design, performance, and user experience.",0
OPPO AI-powered camera and fast charging make this device highly competitive.,OPPO AI-powered camera and fast charging make this device highly competitive.,0
OPPO AI-powered camera and fast charging make this device highly competitive.,"OPPO Strong focus on design, performance, and user experience.",2
"SAMSUNG Strong focus on design, performance, and user experience.",SAMSUNG AI-powered camera and fast charging make this device highly competitive.,2
"OPPO Strong focus on design, performance, and user experience.",OPPO AI-powered camera and fast charging make this device highly competitive.,2
SAMSUNG AI-powered camera and fast charging make this device highly competitive.,"SAMSUNG Strong focus on design, performance, and user experience.",2
